# ID,targets
0,1
1,5
2,5
3,7
4,0
5,1
6,6
7,4
8,4
9,3
10,5
11,1
12,9
13,0
14,8
15,8
16,1
17,1
18,2
19,5
20,5
21,9
22,9
23,3
24,2
25,6
26,4
27,3
28,2
29,1
30,6
31,1
32,3
33,3
34,2
35,3
36,9
37,4
38,0
39,5
40,5
41,6
42,8
43,7
44,2
45,3
46,5
47,3
48,3
49,6
50,3
51,2
52,5
53,1
54,7
55,4
56,8
57,7
58,3
59,9
60,7
61,9
62,1
63,8
64,5
65,0
66,9
67,8
68,7
69,5
70,0
71,2
72,1
73,9
74,3
75,3
76,9
77,5
78,0
79,9
80,2
81,9
82,7
83,8
84,1
85,2
86,7
87,9
88,8
89,7
90,9
91,1
92,9
93,6
94,9
95,7
96,0
97,8
98,6
99,0
100,0
101,7
102,6
103,3
104,6
105,5
106,7
107,5
108,4
109,8
110,1
111,9
112,4
113,5
114,1
115,1
116,0
117,1
118,7
119,6
120,3
121,0
122,0
123,5
124,7
125,7
126,4
127,8
128,0
129,2
130,6
131,6
132,3
133,6
134,1
135,2
136,9
137,6
138,6
139,3
140,0
141,6
142,6
143,0
144,9
145,6
146,1
147,7
148,3
149,3
150,6
151,2
152,2
153,0
154,1
155,1
156,2
157,0
158,2
159,7
160,7
161,1
162,8
163,4
164,6
165,2
166,6
167,7
168,9
169,0
170,1
171,8
172,5
173,7
174,0
175,9
176,3
177,7
178,1
179,5
180,8
181,4
182,3
183,5
184,0
185,5
186,4
187,0
188,3
189,2
190,4
191,9
192,4
193,9
194,7
195,6
196,1
197,8
198,6
199,5
200,8
201,5
202,4
203,4
204,9
205,7
206,1
207,3
208,9
209,7
210,1
211,9
212,2
213,6
214,5
215,0
216,1
217,2
218,8
219,0
220,1
221,1
222,5
223,9
224,6
225,1
226,8
227,6
228,9
229,2
230,6
231,3
232,6
233,3
234,5
235,1
236,5
237,1
238,4
239,0
240,8
241,9
242,9
243,2
244,5
245,5
246,5
247,1
248,5
249,0
250,5
251,3
252,0
253,8
254,3
255,1
256,3
257,5
258,5
259,5
260,9
261,6
262,5
263,7
264,3
265,9
266,2
267,2
268,5
269,6
270,6
271,7
272,9
273,7
274,5
275,5
276,4
277,4
278,3
279,4
280,2
281,4
282,0
283,0
284,7
285,3
286,5
287,8
288,3
289,8
290,4
291,4
292,2
293,9
294,8
295,8
296,0
297,3
298,8
299,3
300,0
301,4
302,8
303,0
304,9
305,0
306,2
307,5
308,7
309,6
310,2
311,6
312,9
313,1
314,4
315,1
316,8
317,2
318,4
319,1
320,6
321,7
322,7
323,5
324,3
325,8
326,3
327,9
328,0
329,8
330,5
331,9
332,8
333,6
334,9
335,4
336,7
337,4
338,7
339,6
340,6
341,6
342,2
343,8
344,2
345,7
346,2
347,2
348,3
349,1
350,2
351,4
352,3
353,0
354,6
355,7
356,9
