# ID,targets
0,1
4,0
5,1
7,4
8,4
11,1
13,0
14,8
15,8
16,1
17,1
26,4
29,1
31,1
37,4
38,0
42,8
53,1
55,4
56,8
62,1
63,8
65,0
67,8
70,0
72,1
78,0
83,8
84,1
88,8
91,1
96,0
97,8
99,0
100,0
108,4
109,8
110,1
112,4
114,1
115,1
116,0
117,1
121,0
122,0
126,4
127,8
128,0
134,1
140,0
143,0
146,1
153,0
154,1
155,1
157,0
161,1
162,8
163,4
169,0
170,1
171,8
174,0
178,1
180,8
181,4
184,0
186,4
187,0
190,4
192,4
196,1
197,8
200,8
202,4
203,4
206,1
210,1
215,0
216,1
218,8
219,0
220,1
221,1
225,1
226,8
235,1
237,1
238,4
239,0
240,8
247,1
249,0
252,0
253,8
255,1
276,4
277,4
279,4
281,4
282,0
283,0
287,8
289,8
290,4
291,4
294,8
295,8
296,0
298,8
300,0
301,4
302,8
303,0
305,0
313,1
314,4
315,1
316,8
318,4
319,1
325,8
328,0
329,8
332,8
335,4
337,4
343,8
349,1
351,4
353,0
359,4
364,0
369,8
373,0
377,8
380,8
381,0
385,8
387,8
388,4
394,4
400,1
402,1
404,1
405,1
407,1
409,4
412,1
416,0
418,1
421,8
423,1
429,8
432,0
433,8
434,8
435,4
440,0
441,0
444,1
445,4
446,8
447,1
448,8
451,8
452,8
454,8
457,0
459,8
461,4
465,0
467,4
469,4
472,0
473,1
475,0
476,0
477,1
480,8
486,8
488,4
492,0
496,0
499,4
502,0
503,4
504,4
505,4
506,0
507,4
509,1
516,0
518,1
519,0
523,8
528,4
530,0
534,1
535,8
544,1
546,1
549,0
551,1
552,1
559,8
564,4
566,0
574,8
575,1
579,4
585,0
591,0
595,8
597,8
598,8
600,0
601,1
606,1
608,0
609,4
611,0
612,0
615,4
616,1
622,4
626,0
629,1
631,4
632,8
633,1
634,4
637,1
639,4
643,8
645,8
646,0
648,4
649,0
652,1
654,0
659,4
661,8
666,1
670,1
671,1
675,4
678,4
683,1
684,0
687,4
688,1
693,0
694,4
697,4
698,8
699,0
702,1
703,0
704,0
705,0
706,0
709,4
712,4
718,4
720,1
721,1
723,4
727,1
729,8
736,4
739,4
741,0
751,0
754,0
756,4
762,0
764,8
765,1
767,8
770,1
771,0
772,4
773,4
774,8
777,1
780,0
783,8
784,8
786,1
792,0
794,0
795,8
796,1
797,4
798,0
799,0
800,4
802,1
804,0
806,0
807,4
809,0
811,4
813,1
815,0
818,4
819,4
820,0
822,8
827,1
834,1
836,0
838,1
842,1
846,8
853,0
855,8
856,0
857,0
863,1
866,8
867,8
870,1
878,4
880,0
882,1
885,1
886,0
888,4
889,0
893,4
894,0
895,1
896,0
897,1
902,0
903,1
905,8
906,4
908,8
909,4
910,4
913,1
914,1
916,0
920,1
926,8
927,1
929,0
931,0
932,1
933,4
935,0
936,8
938,1
939,4
941,8
943,1
950,1
959,4
962,4
965,8
970,0
971,8
972,4
974,8
976,1
983,1
984,0
985,1
986,4
987,4
990,0
993,4
996,8
997,4
998,8
1001,8
1007,8
1010,1
1012,8
1014,0
1023,8
1024,1
1031,1
1033,1
1035,0
1036,8
1037,4
1038,8
1039,1
1040,1
1044,1
1046,8
1050,8
1052,1
1055,1
1058,4
1059,0
1062,1
1066,8
1067,1
1072,4
1078,4
1079,4
1083,4
1086,8
1087,0
1094,8
1100,4
1101,4
1102,4
1103,8
1105,4
1107,0
1108,1
1109,0
1110,0
1114,4
1115,8
1119,4
1121,4
1125,8
1126,4
1128,1
1130,4
1132,8
1133,0
1138,1
1139,1
1141,4
1146,1
1147,1
1148,4
1153,4
1158,4
1159,1
1162,8
1165,4
1170,1
1172,0
1175,4
1177,8
1179,0
1184,8
1193,8
1194,0
1198,8
1204,1
1205,1
1209,8
1211,0
1212,1
1214,8
1216,1
1217,1
1222,8
1225,0
1226,8
1227,0
1229,1
1230,0
1231,0
1232,0
1233,1
1234,4
1236,0
1237,1
1239,4
1242,4
1244,1
1245,0
1246,1
1248,0
1249,0
1251,8
1252,1
1253,8
1257,1
1258,0
1260,4
1262,1
1263,1
1264,4
1266,8
1268,0
1270,0
1271,0
1276,0
1282,4
1285,8
1286,1
1287,1
1288,1
1289,0
1292,8
1294,1
1295,1
1298,0
1299,1
1303,1
1304,4
1306,0
1307,1
1310,1
1311,0
1313,0
1316,1
1317,0
1322,8
1330,0
1333,0
1341,0
1342,0
1343,1
1344,4
1345,1
1348,4
1350,8
1353,0
1355,1
1356,1
1357,4
1358,0
1360,0
1364,1
1366,1
1367,8
1368,1
1372,0
1380,1
1381,0
1384,8
1387,1
1388,0
1395,1
1404,1
1406,0
1409,4
1411,0
1412,8
1414,0
1415,8
1418,0
1419,4
1424,4
1428,1
1430,4
1431,1
1433,8
1435,0
1440,1
1441,0
1444,4
1449,1
1453,1
1455,1
1458,8
1460,4
1462,0
1465,0
1469,8
1470,4
1471,0
1472,4
1473,8
1477,4
1482,0
1484,8
1487,0
1488,8
1491,1
1492,0
1497,8
1499,8
1500,4
1503,4
1504,0
1506,0
1508,4
1511,8
1517,8
1518,0
1522,1
1523,0
1526,0
1528,4
1529,1
1530,1
1531,1
1536,8
1537,4
1539,0
1541,0
1543,8
1545,4
1547,1
1548,1
1549,0
1550,4
1552,0
1553,8
1554,8
1555,8
1556,1
1558,4
1559,4
1562,1
1566,8
1567,8
1569,4
1573,1
1578,0
1579,0
1586,1
1592,1
1593,1
1594,1
1595,4
1598,4
1600,0
1602,1
1605,1
1606,0
1607,0
1609,8
1611,8
1612,4
1613,0
1616,8
1618,4
1619,1
1626,0
1628,0
1629,1
1633,8
1634,0
1645,8
1647,8
1648,0
1651,0
1654,8
1655,1
1657,4
1658,1
1659,8
1661,8
1665,1
1668,1
1669,0
1670,0
